AreaName,Year,Stock_largeAni,Stock_cattle,Stock_horse,Stock_donkey,Stock_mule,Stock_camel,Out_hog,Stock_hog,Stock_gt_shp,Stock_goat,Stock_sheep,Out_cattle,Out_gt_shp,Out_poultry,MeatYield,MeatYield_hg_ct_gt_shp,MeatYield_hog,MeatYield_cattle,MeatYield_gt_shp,MilkYield,MilkYield_cattle,WoolYield_sheep,WoolYield_sheep_fine,WoolYield_sheep_semi,WoolYield_goat_thick,WoolYield_goat_cashmere,EggYield,HoneyYield
Beijing,2000,23.59,18.85,0.59,2.65,1.5,0.0,415.61,250.05,120.11,51.26,68.85,17.27,103.93,13986.9,55.88885,33.91975,29.0927,3.2681,1.55895,30.3633,30.3312,762.0,53.0,50.0,199.0,68.0,16.0,0.3
Tianjin,2000,31.59,21.45,0.95,6.93,2.27,0.0,235.8,164.81,65.17,15.92,49.25,18.28,95.06,4484.68,28.8712,22.1052,17.3435,2.7752,1.9865,16.5152,16.5109,1418.0,307.0,4603.0,49.0,506.0,25.6,0.1
Hebei,2000,955.4,697.89,45.04,149.14,63.33,0.0,3239.1,2415.8,2090.01,999.28,1090.73,429.99,1868.4,53301.67,419.4228,332.7222,242.8362,65.2916,24.5944,96.2088,84.1984,27789.0,5432.0,11104.0,5567.0,981.0,357.0,0.9
Shanxi,2000,309.26,225.01,5.78,37.21,41.26,0.0,567.48,468.39,1058.42,474.85,583.57,53.74,478.8,3350.25,63.6854,57.8854,43.5432,7.3154,7.0268,35.9128,33.5266,7287.0,1498.0,745.0,1659.0,632.0,40.3,0.3
Inner Mongolia,2000,622.13,351.6,111.79,85.92,60.82,12.0,851.34,801.25,3551.58,1304.31,2247.27,158.43,2081.21,4682.12,143.3984,130.2812,76.6206,21.844,31.8166,82.9911,79.7774,65051.0,36959.0,13601.0,3442.0,3815.0,24.4,0.2
Liaoning,2000,420.66,254.0,37.03,95.28,34.35,0.0,1320.07,1300.22,386.1107,187.3377,198.773,171.74,239.23,38038.83,225.6905,146.1675,116.9582,25.8413,3.3680000000000003,21.9481,18.8755,7567.0,3721.0,3411.0,748.0,356.0,140.3,0.6
Jilin,2000,539.76,431.86,72.23,16.8,18.87,0.0,1153.89,646.02,352.96,54.12,298.84,268.08,256.85,41498.8,216.28707400000002,132.232374,95.47337399999999,33.5449,3.2141,15.0007,14.2502,21228.0,19045.0,2183.0,365.0,34.0,80.0,0.5
Heilongjiang,2000,547.68,461.38,72.78,7.94,5.58,0.0,1101.8,992.6,507.41,123.83,383.58,182.47,235.74,17057.79,151.5952,117.6492,87.1,27.0715,3.4777,156.5345,154.2992,13550.0,4365.0,9185.0,62.0,22.0,75.3,0.4
Shanghai,2000,6.27,6.05,0.0,0.0,0.0,0.0,473.0,230.0,55.44,45.98,9.46,0.32,61.88,17213.07,55.0464,26.6822,25.8972,0.0,0.74,25.9459,25.9459,127.0,0.0,127.0,214.0,0.0,16.6,0.1
Jiangsu,2000,74.51,59.14,1.4,12.57,1.4,0.0,2780.0,2015.0,1022.97,994.39,28.58,27.43,1372.4,57275.3,328.0468,226.5932,205.72,5.1206,15.7526,25.6923,25.5223,1104.0,863.0,54.0,17.0,0.0,181.4,0.7
Zhejiang,2000,38.95,38.95,0.0,0.0,0.0,0.0,1359.8,1043.0,233.51,113.37,120.14,6.99,159.25,17380.8,117.62043,93.31923,89.78473000000001,0.9184,2.6161,11.1713,11.17,2132.0,2132.0,0.0,0.0,0.0,37.2,7.1
