Area,Year,"Stock, cattle","Stock, goat & sheep","Stock, pig","Stock, birds","Slaughtered, cattle","Slaughtered, goat & sheep","Slaughtered, pig","Slaughtered, birds","Meat Production, cattle","Meat Production, goat & sheep","Meat Production, pig","Meat Production, birds","Egg Production, birds","Milk Production, cow","Meat Yield, cattle","Meat Yield, goat & sheep","Meat Yield, pig","Meat Yield, birds","Aquatic, total","Aquatic, animals","Marine, total","Marine, caught","Marine, farmed",Marine Fish,Marine Crustaceans,Marine Molluscs,Marine Plants,"Marine, others","Freshwater, total","Freshwater, caught","Freshwater, farmed",Freshwater Fish,Freshwater Crustaceans,Freshwater Molluscs,"Freshwater, others"
Fujian,2012,68.4628,110.8126,1340.856795,,24.33,143.05,2069.054664,28436.76,2.4507,1.9631,155.5511733,,25.35822107,15.0357,,,,,628.6826,557.6107,546.6075,213.94799999999998,332.6595,186.6229,44.0506,229.9217,71.0719,14.9404,82.0751,8.6153,73.4598,68.745,6.8427,4.6776,1.8098
Jiangxi,2012,294.5,54.6,1645.884,,129.5,70.85,3050.6,43026.2,12.1,1.1,237.3,,45.7905,12.6,,,,,237.0007,237.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0007,26.4866,210.5141,208.7708,15.3418,7.2818,5.6063
Shandong,2012,499.2681738,2163.8054,2902.387059,,437.29,2915.73,4599.870527,188437.62,66.95853000000001,33.1036416,376.69637860000006,,401.989374,283.9234253,,,,,841.8937,785.0711,686.0746,249.8303,436.2443,189.7138,38.3242,357.5329,56.8226,43.6811,155.8191,13.9308,141.8883,143.9976,10.2359,0.9009,0.6847
Henan,2012,908.205,1827.7,4587.28,,534.65,2027.45,5711.25,94358.7,80.442,24.7504,432.5,,404.1675,316.1046,,,,,71.721,71.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.721,4.1567,67.5643,68.9215,1.9054,0.0592,0.8349
Hubei,2012,333.6405,435.06138,2543.1822,,131.72,510.97,4180.839427,49866.39,18.94232145,8.15134768,317.26968,,139.35951,15.343379999999998,,,,,388.9476,388.9476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.9476,21.308000000000003,367.6396,330.1681,50.748999999999995,4.1123,3.9182
Hunan,2012,430.5,500.8102,4245.5222,,146.6,638.16,5878.8,41650.3,16.8,10.30161,427.6,,95.183,8.5,,,,,221.4376,221.4376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.4376,10.4952,210.9424,213.3573,3.0609,2.3227,2.6967
Guangdong,2012,232.769,40.1806,2256.628,,57.05,49.21,3736.179,113073.37,6.6833,0.8778,276.39,,31.805,13.637,,,,,789.5004,781.6353,432.3435,156.6073,275.7362,156.7952,62.9683,192.4803,7.8651,12.2346,357.1569,13.0628,344.0941,315.1398,30.6147,6.5195,4.8829
Guangxi,2012,453.6259,203.587345,2466.6,,147.69,205.99,3342.091336,82631.65,13.85618932,3.2472309,252.4955388,,21.8159045,9.356527097999999,,,,,303.87,303.87,164.7922,67.0615,97.7307,42.8671,33.6364,78.0421,0.0,10.2466,139.0778,12.953,126.1248,133.3658,1.444,1.7256,2.5424
Hainan,2012,87.39,66.03,438.56397,,26.92,77.06,580.89,14663.66,2.51,1.03,48.12,,3.58,0.22629,,,,,172.734,169.3861,132.5427,110.9325,21.6102,99.9486,16.5628,5.2989,3.3479,7.3845,40.1913,2.1377,38.0536,38.861999999999995,0.2289,0.1844,0.9159999999999999
Chongqing,2012,130.50744,181.14825,1524.31,,54.93,212.37,2050.76,22222.59,7.05,2.79,150.73,,40.05,7.73,,,,,33.071999999999996,33.071999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.071999999999996,1.4898,31.5822,32.7706,0.1931,0.0,0.0623
